Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
,Calvin Hemery,8,Maximilian Neuchrist,63 764,munich,259,France F3,2014,futures
Q,Gregoire Barrere,,Laurent Rochette,36 64 64,munich,259,France F3,2014,futures
Q,Sebastien Boltz,Q,Medy Chettar,63 62,munich,259,France F3,2014,futures
WC,Corentin Denolly,,Michael Bois,64 62,munich,259,France F3,2014,futures
WC,Eric Fomba,WC,Remy Chala,63 57 75,munich,259,France F3,2014,futures
,Tristan Lamasine,,Adrien Bossel,62 64,munich,259,France F3,2014,futures
,Roberto Marcora,WC,Ronan Joncour,64 64,munich,259,France F3,2014,futures
,Hugo Nys,,Viktor Galovic,75 60,munich,259,France F3,2014,futures
Q,Fabien Reboul,Q,Thomas Grinberg,75 63,munich,259,France F3,2014,futures
,Mathieu Rodrigues,,Laurent Lokoli,62 62,munich,259,France F3,2014,futures
1) ,Yann Marti,,Carlos Boluda-Purkiss,62 63,south-orange,707,Turkey F1,2014,futures
1) ,Yann Marti,8,Ivan Bjelica,766 64,south-orange,707,Turkey F1,2014,futures
,Carlos Boluda-Purkiss,,Yusuke Watanuki,62 63,south-orange,707,Turkey F1,2014,futures
1) ,Yann Marti,7,Marat Deviatiarov,63 63,south-orange,707,Turkey F1,2014,futures
8,Ivan Bjelica,4,Marco Bortolotti,63 75,south-orange,707,Turkey F1,2014,futures
,Carlos Boluda-Purkiss,,Maxime Tchoutakian,36 62 64,south-orange,707,Turkey F1,2014,futures
,Yusuke Watanuki,Q,Jerome Inzerillo,61 30 (RET),south-orange,707,Turkey F1,2014,futures
1) ,Yann Marti,Q,Oscar Fabian Matthews,64 26 61,south-orange,707,Turkey F1,2014,futures
4,Marco Bortolotti,,Nerman Fatic,62 61,south-orange,707,Turkey F1,2014,futures
,Carlos Boluda-Purkiss,5,Juraj Masar,61 63,south-orange,707,Turkey F1,2014,futures
7,Marat Deviatiarov,,Petar Trendafilov,64 64,south-orange,707,Turkey F1,2014,futures
8,Ivan Bjelica,Q,Kyle Mcmorrow,62 61,south-orange,707,Turkey F1,2014,futures
Q,Jerome Inzerillo,Q,Cem Ilkel,674 762 62,south-orange,707,Turkey F1,2014,futures
,Maxime Tchoutakian,,Baris Erguden,63 75,south-orange,707,Turkey F1,2014,futures
,Yusuke Watanuki,,Marko Tepavac,64 36 63,south-orange,707,Turkey F1,2014,futures
1) ,Yann Marti,WC,Durukan Durmus,61 63,south-orange,707,Turkey F1,2014,futures
,Baris Erguden,2,Roberto Ortega-Olmedo,62 46 75,south-orange,707,Turkey F1,2014,futures
Q,Cem Ilkel,3,Alexander Lobkov,64 61,south-orange,707,Turkey F1,2014,futures
4,Marco Bortolotti,,Evan Song,63 61,south-orange,707,Turkey F1,2014,futures
5,Juraj Masar,WC,Anil Yuksel,64 766,south-orange,707,Turkey F1,2014,futures
,Marko Tepavac,6) ,Tucker Vorster,63 62,south-orange,707,Turkey F1,2014,futures
7,Marat Deviatiarov,,Anton Galkin,673 63 10 (RET),south-orange,707,Turkey F1,2014,futures
8,Ivan Bjelica,WC,Adam Majchrowicz,62 61,south-orange,707,Turkey F1,2014,futures
