id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class,pageranks,componentnumber,strongcompnum,atp count,qual count,future count,comp color
2142,Kirill Lapushkin,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,1177,0,1,0,brown
2143,Cristian Chavez,,2,6,8,2.0,6.0,8.0,4,1.6583339999972384E-5,0,9,0,0,8,green
2144,Vladimir Pavicevic,,15,20,35,15.0,22.0,37.0,5,5.083486346163918E-5,0,9,0,2,35,purple
2145,Elvis Henry,,0,1,1,0.0,2.0,2.0,4,1.3162540327839612E-5,0,1178,2,0,0,green
2146,Akihiro Tanaka,,2,4,6,2.0,4.0,6.0,2,1.6760484872559538E-5,0,9,0,0,6,blue
2147,Peng Sun,,83,78,161,99.0,95.0,194.0,2,2.3740795727630523E-4,0,9,23,21,150,blue
2148,Jan Kuncik,,38,55,93,38.0,63.0,101.0,5,9.630798644712097E-5,0,9,0,2,99,purple
2149,Reda Messaoudi,,3,2,5,3.0,2.0,5.0,1,2.1496769784856347E-5,0,9,0,0,5,brown
2150,Javier Munoz,,30,54,84,38.0,65.0,103.0,4,7.918980034391624E-5,0,9,0,2,101,green
2151,Magin Ortiga,,0,9,9,0.0,9.0,9.0,4,1.3162540327839612E-5,0,1179,0,0,9,green
2152,Bastian Winde Harbo,,0,2,2,0.0,2.0,2.0,1,1.3162540327839612E-5,0,1180,0,0,2,brown
2153,Lucas Miedler,,49,30,79,56.0,36.0,92.0,5,1.2553476583203243E-4,0,9,1,6,85,purple
2154,Michael Feucht,,1,1,2,1.0,1.0,2.0,5,1.556196081711651E-5,0,9,0,0,2,purple
2155,Ivan Horsky,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1181,0,0,1,purple
2156,Dragos Constantin Ignat,,10,17,27,10.0,20.0,30.0,0,2.7188029120562655E-5,0,9,0,0,30,dark green
2157,Octavian Avram,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,1182,0,0,1,dark green
2158,Erik Crepaldi,,185,165,350,205.0,187.0,392.0,5,4.0740860967029927E-4,0,9,0,43,349,purple
2159,Christian Johansson,,7,17,24,7.0,17.0,24.0,1,4.331522454775601E-5,0,9,0,0,24,brown
2160,Mauricio Antun,,1,2,3,1.0,2.0,3.0,4,1.8337064348003936E-5,0,85,0,0,3,green
2161,David Ocampo Londono,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,1183,0,0,1,green
2162,Slah Mbarek,,7,21,28,7.0,22.0,29.0,1,2.4618944730206717E-5,0,9,1,1,27,brown
2163,Muheto Ronald Rufyikiri,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,1185,0,0,1,blue
2164,Ronald Powell,,1,1,2,1.0,1.0,2.0,4,1.5670575952962712E-5,0,9,0,0,2,green
2165,Marshall Street,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1186,0,0,1,purple
2166,Dong Whee Choi,,31,39,70,33.0,43.0,76.0,2,7.948667742003504E-5,0,9,0,1,75,blue
2167,Fabiano De Paula,,159,111,270,201.0,150.0,351.0,4,4.4921176111406953E-4,0,9,1,100,250,green
2168,Yan Ermak,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,1187,0,0,1,dark green
2169,Pavel Ivanov,,35,37,72,36.0,38.0,74.0,0,1.1422354548035196E-4,0,9,0,23,51,dark green
2170,Daniel Cukierman,,13,18,31,14.0,21.0,35.0,0,4.6063394720195456E-5,0,9,0,0,35,dark green
2171,Kaes Vant Hof,,23,25,48,24.0,26.0,50.0,4,6.659122066422425E-5,0,9,0,6,44,green
2172,Andre Ghem,,220,168,388,278.0,241.0,519.0,4,8.496353324762297E-4,0,9,7,407,105,green
2173,Pedro Munafo,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1188,0,0,1,purple
2174,Jianhui Li,,0,3,3,0.0,3.0,3.0,2,1.3162540327839612E-5,0,1189,0,0,3,blue
2175,Lynn Max Kempen,,0,6,6,0.0,6.0,6.0,5,1.3162540327839612E-5,0,1190,0,0,6,purple
