id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,pageranks,wta count,itf count,comp color
268,Franziska Klotz,,23,35,58,23,38,61,9,0.313741828,0.344641114,3.87E-04,0,0,4,0.039473683,8.34E-05,0,61,purple
269,Dana Kremer,,11,15,26,12,15,27,9,0.295413398,0.318804579,1.30E-05,0,0,4,0.063076921,4.50E-05,0,27,purple
276,Lauren Barnikow,,22,22,44,25,22,47,10,0.28389978,0.311223795,3.47E-04,3,0,4,0.055168409,1.25E-04,0,47,blue
280,Varvara Lepchenko,,240,173,413,350,265,615,9,0.319037998,0.364278337,5.46E-04,1,0,4,0.184381023,0.001820414,251,364,red
285,Dijana Banovec,,35,26,61,38,28,66,9,0.310852861,0.340199994,1.08E-04,0,0,4,0.11010284,1.58E-04,0,66,purple
287,Samantha Crawford,,68,67,135,78,84,162,9,0.314285714,0.34930136,2.52E-04,3,0,4,0.137944818,3.72E-04,7,155,blue
288,Lisa Sabino,,230,145,375,262,174,436,8,0.35455599,0.397841578,0.003526914,4,0,4,0.04140256,8.00E-04,0,436,brown
291,Diana Marcinkevica,,168,134,302,191,165,356,9,0.348398577,0.390568932,0.001389966,0,0,4,0.073665075,6.48E-04,18,338,purple
295,Oksana Kalashnikova,,118,110,228,140,121,261,9,0.336218147,0.377363604,5.63E-04,0,0,4,0.098059125,5.51E-04,14,247,purple
302,Jennifer Zerbone,,9,16,25,9,16,25,9,0.302403163,0.328360491,1.23E-04,0,0,4,0.06666667,5.35E-05,0,25,purple
306,Jacqueline Wu,,5,9,14,5,9,14,9,0.272140991,0.292199361,1.11E-04,3,0,4,0.044871796,2.86E-05,0,14,blue
309,Wynne Prakusya,,38,14,52,41,16,57,10,0.276538049,0.301933946,5.17E-05,5,0,4,0.089795917,1.67E-04,6,51,green
310,Nives Pavlovic,,2,19,21,2,20,22,9,0.311386768,0.339177327,2.18E-04,0,0,4,0.092857145,1.83E-05,0,22,purple
315,Viktoria Kutuzova,,127,97,224,154,120,274,9,0.30822996,0.346392496,2.85E-04,1,0,4,0.178681597,7.15E-04,56,218,red
319,Daniela Munoz Gallegos,,89,93,182,106,112,218,9,0.332970546,0.371256952,0.001492861,3,0,4,0.067408919,3.72E-04,16,202,blue
324,Andrada Lacramioara Dinu,,8,25,33,8,29,37,9,0.298913043,0.327544709,1.88E-04,0,0,4,0.0625,4.29E-05,0,37,purple
331,Meng Ning Deng,,10,9,19,10,9,19,10,0.271582335,0.292320395,7.06E-06,5,0,4,0.096491225,4.16E-05,0,19,green
334,Maria Smith,,3,11,14,3,11,14,9,0.284593023,0.305008674,2.31E-04,3,0,4,0.032967035,2.33E-05,0,14,blue
339,Olivia Tjandramulia,,12,17,29,12,17,29,9,0.290970695,0.316394928,1.03E-04,5,0,4,0.092364535,5.75E-05,0,29,green
340,Elena Van Der Sypt,,9,15,24,9,17,26,9,0.296828573,0.319155277,3.06E-05,0,0,4,0.06719368,4.11E-05,0,26,purple
341,Yuval Keren,,3,8,11,4,11,15,9,0.279586475,0.2974818,5.67E-05,0,0,4,0.145454541,3.27E-05,0,15,purple
347,Efriliya Herlina,,4,8,12,4,8,12,9,0.281953805,0.300675373,1.18E-04,5,0,4,0.053030305,4.87E-05,0,12,green
349,Lucia Bronzetti,,5,6,11,5,6,11,9,0.280982722,0.300144138,5.79E-05,0,0,4,0.07272727,3.86E-05,0,11,purple
350,Melina Ferrero,,45,62,107,49,83,132,8,0.32762198,0.358893185,0.001257612,3,0,4,0.083662279,2.07E-04,0,132,blue
351,Ana Madcur,,19,27,46,21,34,55,8,0.304548,0.327661122,1.88E-04,3,0,4,0.138981178,7.67E-05,0,55,blue
352,Manana Shapakidze,,75,52,127,81,59,140,9,0.326485693,0.361341667,6.56E-04,0,0,4,0.058963586,2.54E-04,0,140,purple
358,Yasmin Enrich,,9,20,29,9,22,31,9,0.295466892,0.319788252,9.45E-05,3,0,4,0.230295569,4.83E-05,0,31,blue
360,Agathe Timsit,,3,10,13,3,10,13,9,0.282002535,0.301195827,2.22E-04,0,0,4,0.032051284,2.18E-05,0,13,purple
361,Simran Kaur Sethi,,13,10,23,13,10,23,9,0.278030217,0.29583459,7.63E-05,5,0,4,0.149350643,5.72E-05,0,23,green
362,Lenka Hojckova,,5,16,21,5,17,22,9,0.286558951,0.31066751,6.13E-05,0,0,4,0.047619049,4.00E-05,0,22,purple
363,Anna Viktoria Lind,,4,10,14,4,10,14,10,0.277447146,0.299698996,2.73E-04,4,0,4,0.065934069,3.63E-05,0,14,brown
365,Virginie Ayassamy,,28,35,63,28,39,67,9,0.311287758,0.342034956,1.33E-04,0,0,4,0.031200424,9.28E-05,0,67,purple
369,Sheethal Goutham,,17,30,47,18,31,49,9,0.315297907,0.344365323,3.26E-04,5,0,4,0.098989896,5.60E-05,0,49,green
371,Chun Mei Ji,,38,43,81,46,53,99,9,0.30712762,0.338669845,1.50E-04,5,0,4,0.153722331,1.85E-04,2,97,green
372,Julia Samuseva,,53,45,98,57,48,105,9,0.328391252,0.360219531,3.83E-04,0,0,4,0.048256092,1.91E-04,0,105,purple
375,Astra Sharma,,11,6,17,11,7,18,9,0.287975056,0.309819382,2.54E-05,0,0,4,0.073529415,4.75E-05,0,18,purple
376,Hanyu Guo,,7,5,12,7,5,12,9,0.262917607,0.279935551,4.20E-06,5,0,4,0.06818182,3.87E-05,0,12,green
377,Justina Mikulskyte,,4,11,15,4,12,16,9,0.300141026,0.322577622,8.53E-06,0,0,4,0.114285715,2.74E-05,5,11,purple
378,Angelina Skidanova,,4,10,14,4,10,14,9,0.29580614,0.31659095,1.47E-05,0,0,4,0.043956045,2.46E-05,0,14,purple
379,Nicola Slater,,25,35,60,25,37,62,9,0.321257465,0.353167145,2.05E-04,3,0,4,0.054802261,9.22E-05,0,62,blue
382,Meta Sevsek,,3,12,15,3,12,15,10,0.274491112,0.297539115,2.23E-05,0,0,4,0.076190479,2.50E-05,0,15,purple
384,Lindsay Lee Waters,,86,93,179,104,122,226,9,0.310931843,0.348710459,1.94E-04,1,0,4,0.160583049,4.21E-04,15,211,red
385,Svetlana Krivencheva,,21,49,70,22,54,76,9,0.305193591,0.337333123,1.13E-04,1,0,4,0.105924979,7.50E-05,0,76,red
386,Debora Echeverria,,4,19,23,4,21,25,8,0.298876542,0.319575125,1.97E-05,3,0,4,0.122529641,2.87E-05,0,25,blue
392,Dominique Covington,,1,19,20,1,19,20,9,0.302515296,0.326682313,1.11E-04,0,0,4,0.044736844,1.89E-05,0,20,purple
395,Paula Fondevila Castro,,72,54,126,77,70,147,9,0.309477145,0.34467038,2.76E-04,4,0,4,0.088697851,2.53E-04,1,146,brown
396,Maria Belen Corbalan,,86,59,145,102,69,171,9,0.326050756,0.361684583,6.80E-04,4,0,4,0.079546712,3.52E-04,0,171,brown
397,Alena Weiss,,3,7,10,3,7,10,9,0.279522613,0.29991877,3.20E-06,0,0,4,0.06666667,2.36E-05,0,10,purple
399,Petra Mokra,,4,12,16,4,12,16,9,0.278093398,0.29872951,4.05E-04,0,0,4,0.033333335,2.51E-05,0,16,purple
400,Emily Fanning,,7,9,16,7,10,17,9,0.289422338,0.313389027,5.57E-05,5,0,4,0.045833334,4.87E-05,5,12,green
401,Timna Ticic,,29,67,96,30,69,99,9,0.327293394,0.362350957,9.80E-04,0,0,4,0.036833677,1.42E-04,0,99,purple
403,Janaki Gunuganti,,3,7,10,3,7,10,10,0.259640376,0.278255995,3.57E-06,5,0,4,0.027777778,2.12E-05,0,10,green
404,Barbara Montiel,,14,26,40,15,28,43,9,0.29580614,0.31774,1.69E-04,3,0,4,0.203778684,5.67E-05,0,43,blue
406,Kana Watanabe,,3,12,15,3,12,15,9,0.278679192,0.300480649,9.43E-06,5,0,4,0.17582418,2.07E-05,0,15,green
408,Magdalena Cordero,,1,12,13,1,13,14,9,0.278292503,0.296440567,2.57E-06,3,0,274,0.128205135,1.91E-05,0,14,blue
411,Leticia Demichelli,,1,9,10,1,9,10,9,0.276522427,0.295018808,3.50E-04,3,0,4,0.122222222,1.90E-05,7,3,blue
416,Dominique Wahl,,2,14,16,2,15,17,9,0.286542176,0.307878058,1.59E-04,0,0,4,0.020833334,2.51E-05,0,17,purple
417,Dasha Ivanova,,18,24,42,18,25,43,9,0.303791969,0.329790441,3.14E-04,3,0,4,0.044512194,8.21E-05,0,43,blue
418,Desislava Topalova,,5,6,11,5,6,11,10,0.264109205,0.286605947,1.33E-06,1,0,4,0.127272725,3.47E-05,0,11,red
422,Andrea Berkova,,11,13,24,11,13,24,10,0.284891165,0.309942361,1.18E-04,0,0,4,0.057971016,4.53E-05,0,24,purple
426,Lyudmyla Kichenok,,113,87,200,133,110,243,9,0.329474322,0.36813869,3.29E-04,0,0,4,0.107217915,5.42E-04,12,231,purple
427,Elyne Boeykens,,78,74,152,89,78,167,9,0.334700855,0.372359956,6.36E-04,0,0,4,0.073381297,2.97E-04,0,167,purple
431,Caroline Price,,11,4,15,11,4,15,9,0.274861025,0.294844756,2.51E-05,3,0,4,0.08791209,6.38E-05,0,15,blue
432,Olivia Sanchez,,132,92,224,160,113,273,9,0.319100391,0.357236895,2.58E-04,1,0,4,0.14988105,6.74E-04,21,252,red
434,Camilla Rosatello,,69,69,138,73,71,144,9,0.336564906,0.37292297,0.001110683,0,0,4,0.044439457,2.31E-04,0,144,purple
436,Aldila Sutjiadi,,12,10,22,12,12,24,9,0.285090274,0.306241468,5.86E-05,5,0,4,0.035714287,5.30E-05,3,21,green
437,Elizabeth Thomas,,39,67,106,43,75,118,9,0.330007416,0.366016424,0.001216953,4,0,4,0.049893226,1.34E-04,0,118,brown
438,Geeta Manohar,,15,23,38,17,32,49,9,0.297532215,0.324303873,2.04E-04,5,0,4,0.095238097,6.39E-05,0,49,green
440,Martina Caregaro,,150,105,255,165,122,287,9,0.342259824,0.382447671,0.00111221,0,0,4,0.073571481,5.38E-04,1,286,purple
443,Yi Chen,,69,89,158,77,99,176,9,0.329119882,0.367296966,0.001093459,5,0,4,0.081435993,2.73E-04,5,171,green
446,Maraike Biglmaier,,20,19,39,20,20,40,9,0.296325443,0.32265034,7.73E-05,4,0,4,0.051282052,8.48E-05,0,40,brown
448,Veronica Ruo Qi Li,,7,13,20,7,15,22,9,0.283817476,0.308740779,5.98E-05,3,0,4,0.176470593,4.96E-05,0,22,blue
456,Denise Dy,,15,16,31,15,16,31,10,0.286928488,0.310669455,1.83E-04,5,0,4,0.120430104,8.29E-05,9,22,green
457,Alana Van Der Vort,,1,10,11,1,10,11,10,0.269207502,0.291431571,3.42E-04,1,0,4,0.054545455,2.04E-05,0,11,red
458,Lisanne Van Riet,,76,89,165,79,96,175,9,0.346450563,0.384537996,9.53E-04,0,0,4,0.052463975,2.41E-04,0,175,purple
460,Mariana Lopez Terribile,,11,15,26,12,18,30,9,0.291733715,0.314894774,1.21E-04,3,0,4,0.208333328,7.49E-05,0,30,blue
461,Doga Selen Takunyaci,,4,14,18,4,15,19,9,0.302627512,0.324938875,1.89E-05,0,0,4,0.068627454,2.70E-05,0,19,purple
462,Alexandria Stiteler,,16,17,33,16,17,33,9,0.29905914,0.324507677,3.22E-05,0,0,4,0.047348484,5.25E-05,0,33,purple
464,Fabiana Chiaparini,,6,27,33,6,30,36,8,0.316234899,0.343531057,1.52E-04,3,0,4,0.139112905,3.14E-05,0,36,blue
465,Salome Devidze,,13,28,41,13,30,43,10,0.292134161,0.321976263,1.30E-04,1,0,4,0.098170735,4.97E-05,0,43,red
468,Mariana Drazic,,18,40,58,19,42,61,9,0.323807634,0.353107479,5.95E-04,0,0,4,0.041883118,5.96E-05,0,61,purple
470,Tanaporn Thongsing,,9,32,41,9,36,45,9,0.315257294,0.345662078,6.00E-05,5,0,4,0.088414632,3.96E-05,0,45,green
472,Treta Bhattacharyya,,10,19,29,10,22,32,9,0.303152288,0.327844902,5.44E-05,5,0,4,0.155270651,3.87E-05,0,32,green
476,Katie Boulter,,35,27,62,37,29,66,9,0.311188811,0.340873016,3.53E-04,0,0,4,0.052016366,1.51E-04,0,66,purple
